"community_cards","current_street","encoded_actions","final_pot","final_stack","game_number","hand_name","hand_value","hole_cards","initial_seats","initial_stack","player_name","pot","round_count","street","uuid","win_rate","won_hand","action_1_type","action_1_amount","action_1_street","action_1_player","action_1_pot","action_1_bet_percentage","action_1_encoded_past_actions","action_2_type","action_2_amount","action_2_street","action_2_player","action_2_pot","action_2_bet_percentage","action_2_encoded_past_actions","action_3_type","action_3_amount","action_3_street","action_3_player","action_3_pot","action_3_bet_percentage","action_3_encoded_past_actions","action_4_type","action_4_amount","action_4_street","action_4_player","action_4_pot","action_4_bet_percentage","action_4_encoded_past_actions","action_5_type","action_5_amount","action_5_street","action_5_player","action_5_pot","action_5_bet_percentage","action_5_encoded_past_actions","action_6_type","action_6_amount","action_6_street","action_6_player","action_6_pot","action_6_bet_percentage","action_6_encoded_past_actions","action_7_type","action_7_amount","action_7_street","action_7_player","action_7_pot","action_7_bet_percentage","action_7_encoded_past_actions","action_8_type","action_8_amount","action_8_street","action_8_player","action_8_pot","action_8_bet_percentage","action_8_encoded_past_actions","action_9_type","action_9_amount","action_9_street","action_9_player","action_9_pot","action_9_bet_percentage","action_9_encoded_past_actions","action_10_type","action_10_amount","action_10_street","action_10_player","action_10_pot","action_10_bet_percentage","action_10_encoded_past_actions","action_11_type","action_11_amount","action_11_street","action_11_player","action_11_pot","action_11_bet_percentage","action_11_encoded_past_actions","action_12_type","action_12_amount","action_12_street","action_12_player","action_12_pot","action_12_bet_percentage","action_12_encoded_past_actions","action_13_type","action_13_amount","action_13_street","action_13_player","action_13_pot","action_13_bet_percentage","action_13_encoded_past_actions","action_14_type","action_14_amount","action_14_street","action_14_player","action_14_pot","action_14_bet_percentage","action_14_encoded_past_actions","action_15_type","action_15_amount","action_15_street","action_15_player","action_15_pot","action_15_bet_percentage","action_15_encoded_past_actions"
"","preflop","21300","20","990","1","","","H2,H3","[{'name': 'GTO_Player1', 'uuid': 'kfgfbuozuipbiyfcntdcns', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'qmpidicxtnnhpdbkonabfg', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","kfgfbuozuipbiyfcntdcns","0.34","0","call","10","preflop","qmpidicxtnnhpdbkonabfg","20","0.0","2130","fold","0","preflop","kfgfbuozuipbiyfcntdcns","20","0.0","21300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","22460","40","990","1","","","H2,HJ","[{'name': 'GTO_Player1', 'uuid': 'dggkwbetenvkovouhhtrum', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'uokvjluloojpmweilzgpss', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","40","1","preflop","dggkwbetenvkovouhhtrum","0.54","0","raise","30","preflop","uokvjluloojpmweilzgpss","40","66.66666666666666","2246","fold","0","preflop","dggkwbetenvkovouhhtrum","40","0.0","22460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","216800","20","1010","1","","","S7,CQ","[{'name': 'GTO_Player1', 'uuid': 'eghgnigkwmmasyelssiltn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'rpgsvuzurmdwccupbthdwi', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","eghgnigkwmmasyelssiltn","0.52","1","call","10","preflop","rpgsvuzurmdwccupbthdwi","20","0.0","2130","call","10","preflop","eghgnigkwmmasyelssiltn","20","0.0","21430","fold","0","flop","rpgsvuzurmdwccupbthdwi","20","0.0","216800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'ledhebqntkhjzwrokphgju', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'cukjhdhpsbzobsmsplgtnu', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","ledhebqntkhjzwrokphgju","","1","fold","0","preflop","cukjhdhpsbzobsmsplgtnu","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'nkrivxwlpsroynqmnpbopa', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'pqrjiegmjdgcinlqwepzct', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","nkrivxwlpsroynqmnpbopa","","1","fold","0","preflop","pqrjiegmjdgcinlqwepzct","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","flop","2178400","40","1020","1","","","S5,H6","[{'name': 'GTO_Player1', 'uuid': 'czulpyeslairfahfaakjvb', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'lzkwxvgqngahbntedkobsb', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","20","1","preflop","czulpyeslairfahfaakjvb","0.36","1","call","10","preflop","lzkwxvgqngahbntedkobsb","20","0.0","2130","raise","20","preflop","czulpyeslairfahfaakjvb","30","57.14285714285714","21545","call","20","preflop","lzkwxvgqngahbntedkobsb","40","0.0","217590","fold","0","flop","lzkwxvgqngahbntedkobsb","40","0.0","2178400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'mrpkbnjlayeqqdtxhthkun', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'rldbdwdxkkdypposomceiu', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","mrpkbnjlayeqqdtxhthkun","","1","fold","0","preflop","rldbdwdxkkdypposomceiu","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'qmkexkxxnkqpfmzqatqtvy', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'fsibanyvucrmfpovqhchrf', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","qmkexkxxnkqpfmzqatqtvy","","1","fold","0","preflop","fsibanyvucrmfpovqhchrf","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'zczywhejfulbcdbkjjeexw', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'rpjospigvyssussimnmixx', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","zczywhejfulbcdbkjjeexw","","1","fold","0","preflop","rpjospigvyssussimnmixx","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","preflop","2000","15","1005","1","","","","[{'name': 'GTO_Player1', 'uuid': 'sribjawxljsulipeivrqxn', 'stack': 990, 'state': 'participating'}, {'name': 'GTO_Player2', 'uuid': 'urokzhfizjrphglywhwjcu', 'stack': 995, 'state': 'participating'}]","1000","GTO_Player1","","1","","sribjawxljsulipeivrqxn","","1","fold","0","preflop","urokzhfizjrphglywhwjcu","15","0.0","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
