action_1_amount,action_1_player,action_1_street,action_1_type,action_2_amount,action_2_player,action_2_street,action_2_type,action_3_amount,action_3_player,action_3_street,action_3_type,action_4_amount,action_4_player,action_4_street,action_4_type,action_5_amount,action_5_player,action_5_street,action_5_type,action_6_amount,action_6_player,action_6_street,action_6_type,action_7_amount,action_7_player,action_7_street,action_7_type,action_8_amount,action_8_player,action_8_street,action_8_type,action_9_amount,action_9_player,action_9_street,action_9_type,community_cards,current_street,final_pot,final_stack,game_number,hand_name,hand_value,hole_cards,initial_seats,initial_stack,player_name,pot,round_count,street,win_rate,won_hand
10,tqifnymnbrlqlinlmosppt,preflop,call,10,nuwldfzcmyuklqqtbtwevo,preflop,call,0,tqifnymnbrlqlinlmosppt,flop,call,0,nuwldfzcmyuklqqtbtwevo,flop,call,0,tqifnymnbrlqlinlmosppt,turn,call,0,nuwldfzcmyuklqqtbtwevo,turn,call,0,tqifnymnbrlqlinlmosppt,river,call,0,nuwldfzcmyuklqqtbtwevo,river,call,,,,,"S2,CT,HA,S3,C6",river,20,1010,1,,,"D6,H9","[{'name': 'Player1', 'uuid': 'nuwldfzcmyuklqqtbtwevo', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'tqifnymnbrlqlinlmosppt', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.64,1
1000,kkxkfdfdrrjdlagbwasdat,preflop,raise,1000,yuucieqfpgcocffbhqybpv,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,0,1,,,"H6,H9","[{'name': 'Player1', 'uuid': 'yuucieqfpgcocffbhqybpv', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'kkxkfdfdrrjdlagbwasdat', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,preflop,0.54,0
10,xlzlijyzrmwzskqpmqfbef,preflop,call,10,rbrltmcgkqeodfutrbeffh,preflop,call,0,xlzlijyzrmwzskqpmqfbef,flop,call,0,rbrltmcgkqeodfutrbeffh,flop,call,0,xlzlijyzrmwzskqpmqfbef,turn,call,0,rbrltmcgkqeodfutrbeffh,turn,call,0,xlzlijyzrmwzskqpmqfbef,river,call,0,rbrltmcgkqeodfutrbeffh,river,call,,,,,"H6,C2,C3,D6,H5",river,20,990,1,,,"SK,CQ","[{'name': 'Player1', 'uuid': 'rbrltmcgkqeodfutrbeffh', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'xlzlijyzrmwzskqpmqfbef', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.29,0
10,nezxemjqxgszlouxmabvfg,preflop,call,10,aoopmfnvfldnnqfmujjzzu,preflop,call,0,nezxemjqxgszlouxmabvfg,flop,call,0,aoopmfnvfldnnqfmujjzzu,flop,call,0,nezxemjqxgszlouxmabvfg,turn,call,0,aoopmfnvfldnnqfmujjzzu,turn,call,0,nezxemjqxgszlouxmabvfg,river,call,990,aoopmfnvfldnnqfmujjzzu,river,raise,990,nezxemjqxgszlouxmabvfg,river,call,"HJ,H8,C7,S4,C2",river,2000,2000,1,,,"DT,C8","[{'name': 'Player1', 'uuid': 'aoopmfnvfldnnqfmujjzzu', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'nezxemjqxgszlouxmabvfg', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.76,1
10,qhspaewevvmmpttewfbmij,preflop,call,10,xlfvyjmnpjepzfmnbkgync,preflop,call,0,qhspaewevvmmpttewfbmij,flop,call,990,xlfvyjmnpjepzfmnbkgync,flop,raise,990,qhspaewevvmmpttewfbmij,flop,call,,,,,,,,,,,,,,,,,"S5,D8,D6",river,2000,2000,1,,,"C9,D9","[{'name': 'Player1', 'uuid': 'xlfvyjmnpjepzfmnbkgync', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'qhspaewevvmmpttewfbmij', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.78,1
10,uycvyyrxnwiydcvbgmxobb,preflop,call,10,obytymvnhlwkfbgkcecpdt,preflop,call,0,uycvyyrxnwiydcvbgmxobb,flop,call,0,obytymvnhlwkfbgkcecpdt,flop,call,0,uycvyyrxnwiydcvbgmxobb,turn,call,990,obytymvnhlwkfbgkcecpdt,turn,raise,990,uycvyyrxnwiydcvbgmxobb,turn,call,,,,,,,,,"ST,DJ,CK,CJ",river,2000,0,1,,,"D8,HT","[{'name': 'Player1', 'uuid': 'obytymvnhlwkfbgkcecpdt', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'uycvyyrxnwiydcvbgmxobb', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,turn,0.76,0
10,jbeirlhedzxyjrxownielr,preflop,call,10,ofwpwytyxnignswydbcryc,preflop,call,0,jbeirlhedzxyjrxownielr,flop,call,0,ofwpwytyxnignswydbcryc,flop,call,0,jbeirlhedzxyjrxownielr,turn,call,0,ofwpwytyxnignswydbcryc,turn,call,0,jbeirlhedzxyjrxownielr,river,call,0,ofwpwytyxnignswydbcryc,river,call,,,,,"HQ,C4,CT,CJ,HT",river,20,990,1,,,"D6,H9","[{'name': 'Player1', 'uuid': 'ofwpwytyxnignswydbcryc', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jbeirlhedzxyjrxownielr', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.24,0
10,dukzvyykvmmnphljpbvavu,preflop,call,10,aogmxyzaflbupjovacoquu,preflop,call,0,dukzvyykvmmnphljpbvavu,flop,call,0,aogmxyzaflbupjovacoquu,flop,call,0,dukzvyykvmmnphljpbvavu,turn,call,0,aogmxyzaflbupjovacoquu,turn,call,0,dukzvyykvmmnphljpbvavu,river,call,0,aogmxyzaflbupjovacoquu,river,call,,,,,"CK,H5,D6,SA,S3",river,20,990,1,,,"DJ,H4","[{'name': 'Player1', 'uuid': 'aogmxyzaflbupjovacoquu', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'dukzvyykvmmnphljpbvavu', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.22,0
10,uvbcywskmhtkitxqzdefop,preflop,call,10,fvwcxiydhmkmhccuicnqst,preflop,call,0,uvbcywskmhtkitxqzdefop,flop,call,0,fvwcxiydhmkmhccuicnqst,flop,call,0,uvbcywskmhtkitxqzdefop,turn,call,0,fvwcxiydhmkmhccuicnqst,turn,call,0,uvbcywskmhtkitxqzdefop,river,call,0,fvwcxiydhmkmhccuicnqst,river,call,,,,,"S7,CQ,D3,S5,S4",river,20,1010,1,,,"CK,H3","[{'name': 'Player1', 'uuid': 'fvwcxiydhmkmhccuicnqst', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'uvbcywskmhtkitxqzdefop', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.39,1
10,wbjnlovqwlomiqhvgbufov,preflop,call,10,hkwqkmydtpxvzlvwfjctts,preflop,call,0,wbjnlovqwlomiqhvgbufov,flop,call,0,hkwqkmydtpxvzlvwfjctts,flop,call,990,wbjnlovqwlomiqhvgbufov,turn,raise,990,hkwqkmydtpxvzlvwfjctts,turn,call,,,,,,,,,,,,,"SJ,S5,D7,H8",river,2000,0,1,,,"S7,H6","[{'name': 'Player1', 'uuid': 'hkwqkmydtpxvzlvwfjctts', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'wbjnlovqwlomiqhvgbufov', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.63,0
